dataset,phase,strategy,seed,model,init_size,batch,budget,init_size_pct,budget_pct,batch_pct_of_budget,epc,final_labeled_target,step_type,step,labeled_count,split,train_loss,acc,f1_macro,auc,ap,val_mean,select_metric,is_best,tp,fp,tn,fn
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,19,804,val,0.1748,0.8674,0.8407,0.9437,0.867,0.8797,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,20,840,val,0.1495,0.9013,0.8731,0.9575,0.8969,0.9072,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,21,876,val,0.1504,0.8838,0.8387,0.924,0.8537,0.875,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,22,912,val,0.1608,0.8785,0.8267,0.9537,0.8749,0.8835,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,23,948,val,0.1698,0.8557,0.769,0.9523,0.893,0.8675,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,24,984,val,0.1216,0.9124,0.89,0.9642,0.9092,0.9189,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,25,1020,val,0.1136,0.8697,0.8045,0.9435,0.8641,0.8705,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,26,1056,val,0.1352,0.8697,0.8474,0.9545,0.8525,0.881,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,27,1092,val,0.1006,0.8873,0.8604,0.9503,0.8779,0.894,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,28,1128,val,0.0851,0.8791,0.8228,0.9465,0.8707,0.8798,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,29,1164,val,0.0954,0.9095,0.8826,0.9658,0.9106,0.9171,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,30,1200,val,0.1273,0.8879,0.8514,0.9365,0.8657,0.8854,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,31,1236,val,0.1617,0.9118,0.8843,0.9428,0.9012,0.91,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,32,1272,val,0.1829,0.8756,0.8412,0.9352,0.8253,0.8693,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,33,1316,val,0.1719,0.8697,0.8442,0.947,0.8596,0.8801,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,17,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-17.pth,120,36,1196,1.0,10.0,3.0,1,1316,final,-1,984,test,-1,0.9068,0.8834,0.9624,0.8966,,mean,-1,786,215,2316,104
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,0,120,val,1.1151,0.3032,0.2871,0.5215,0.306,0.3544,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,1,156,val,0.7283,0.4959,0.4954,0.7263,0.4561,0.5434,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,2,192,val,0.3511,0.736,0.648,0.7133,0.4648,0.6405,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,3,228,val,0.2791,0.7202,0.6481,0.7472,0.4634,0.6447,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,4,264,val,0.1955,0.6133,0.5803,0.6651,0.3412,0.55,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,5,300,val,0.1676,0.6764,0.647,0.7535,0.4387,0.6289,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,246,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-246.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,6,336,val,0.1917,0.7921,0.6755,0.8384,0.6219,0.732,mean,1,-1,-1,-1,-1
